"","nl12","nl13","nl14","nl15","nl16","nl17","nl18","nl19","nl20"
"23",0.134072298804919,0,0,0,0,0.0913099994262059,0.164254759748777,0.437954311569532,0.841162999471029
"24",0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0.330898642539978,0.464008897542953,0.573905148676464,0.824951214449746
"27",0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0
"31",0.0227986872196198,0.26873667538166,0,0,0.0544987916946411,0.128990411758423,0.372558772563934,0.388587653636932,0.497825314601262
"32",0.0170990154147148,0.0774193964898586,0,0,0,0,0.148758754134178,0.143776521086693,0.203551016747952
"33",0,0.052346130212148,0,0,0,0,0.105367759863536,0.104472100734711,0.140327443679174
"34",0,0,0,0,0,1.050903190266,1.04692899097096,0,0.167954883792184
"35",0,0,0,0,0.660343393683434,1.70844554901123,0.772516861557961,0,0
