cr_id,cr_name,province_id,province_name,city
0101,Aceh Barat,01,Aceh,FALSE
0102,Aceh Barat Daya,01,Aceh,FALSE
0103,Aceh Besar,01,Aceh,FALSE
0104,Aceh Jaya,01,Aceh,FALSE
0105,Aceh Selatan,01,Aceh,FALSE
0106,Aceh Singkil,01,Aceh,FALSE
0107,Aceh Tamiang,01,Aceh,FALSE
0108,Aceh Tengah,01,Aceh,FALSE
0109,Aceh Tenggara,01,Aceh,FALSE
0110,Aceh Timur,01,Aceh,FALSE
0111,Aceh Utara,01,Aceh,FALSE
0112,Bener Meriah,01,Aceh,FALSE
0113,Bireuen,01,Aceh,FALSE
0114,Gayo Lues,01,Aceh,FALSE
0115,Kota Banda Aceh,01,Aceh,TRUE
0116,Kota Langsa,01,Aceh,TRUE
0117,Kota Lhokseumawe,01,Aceh,TRUE
0118,Kota Sabang,01,Aceh,TRUE
0119,Kota Subulussalam,01,Aceh,TRUE
0120,Nagan Raya,01,Aceh,FALSE
0121,Pidie,01,Aceh,FALSE
0122,Pidie Jaya,01,Aceh,FALSE
0123,Simeulue,01,Aceh,FALSE
0201,Badung,02,Bali,FALSE
0202,Bangli,02,Bali,FALSE
0203,Buleleng,02,Bali,FALSE
0204,Gianyar,02,Bali,FALSE
0205,Jembrana,02,Bali,FALSE
0206,Karangasem,02,Bali,FALSE
0207,Klungkung,02,Bali,FALSE
0208,Kota Denpasar,02,Bali,TRUE
0209,Tabanan,02,Bali,FALSE
0301,Kota Cilegon,03,Banten,TRUE
0302,Kota Serang,03,Banten,TRUE
0303,Kota Tangerang,03,Banten,TRUE
0304,Kota Tangerang Selatan,03,Banten,TRUE
0305,Lebak,03,Banten,FALSE
0306,Pandeglang,03,Banten,FALSE
0307,Serang,03,Banten,FALSE
0308,Tangerang,03,Banten,FALSE
0401,Bengkulu Selatan,04,Bengkulu,FALSE
0402,Bengkulu Tengah,04,Bengkulu,FALSE
0403,Bengkulu Utara,04,Bengkulu,FALSE
0404,Kaur,04,Bengkulu,FALSE
0405,Kepahiang,04,Bengkulu,FALSE
0406,Kota Bengkulu,04,Bengkulu,TRUE
0407,Lebong,04,Bengkulu,FALSE
0408,Mukomuko,04,Bengkulu,FALSE
0409,Rejang Lebong,04,Bengkulu,FALSE
0410,Seluma,04,Bengkulu,FALSE
0501,Bantul,05,Daerah Istimewa Yogyakarta,FALSE
0502,Gunung Kidul,05,Daerah Istimewa Yogyakarta,FALSE
0503,Kota Yogyakarta,05,Daerah Istimewa Yogyakarta,TRUE
0504,Kulon Progo,05,Daerah Istimewa Yogyakarta,FALSE
0505,Sleman,05,Daerah Istimewa Yogyakarta,FALSE
0601,Kepulauan Seribu,06,Daerah Khusus Ibukota Jakarta,FALSE
0602,Kota Jakarta Barat,06,Daerah Khusus Ibukota Jakarta,TRUE
0603,Kota Jakarta Pusat,06,Daerah Khusus Ibukota Jakarta,TRUE
0604,Kota Jakarta Selatan,06,Daerah Khusus Ibukota Jakarta,TRUE
0605,Kota Jakarta Timur,06,Daerah Khusus Ibukota Jakarta,TRUE
0606,Kota Jakarta Utara,06,Daerah Khusus Ibukota Jakarta,TRUE
0701,Boalemo,07,Gorontalo,FALSE
0702,Bone Bolango,07,Gorontalo,FALSE
0703,Gorontalo,07,Gorontalo,FALSE
0704,Gorontalo Utara,07,Gorontalo,FALSE
0705,Kota Gorontalo,07,Gorontalo,TRUE
0706,Pohuwato,07,Gorontalo,FALSE
0801,Batang Hari,08,Jambi,FALSE
0802,Bungo,08,Jambi,FALSE
0803,Kerinci,08,Jambi,FALSE
0804,Kota Jambi,08,Jambi,TRUE
0805,Kota Sungai Penuh,08,Jambi,TRUE
0806,Merangin,08,Jambi,FALSE
0807,Muaro Jambi,08,Jambi,FALSE
0808,Sarolangun,08,Jambi,FALSE
0809,Tanjung Jabung Barat,08,Jambi,FALSE
0810,Tanjung Jabung Timur,08,Jambi,FALSE
0811,Tebo,08,Jambi,FALSE
0901,Bandung,09,Jawa Barat,FALSE
0902,Bandung Barat,09,Jawa Barat,FALSE
0903,Bekasi,09,Jawa Barat,FALSE
0904,Bogor,09,Jawa Barat,FALSE
0905,Ciamis,09,Jawa Barat,FALSE
0906,Cianjur,09,Jawa Barat,FALSE
0907,Cirebon,09,Jawa Barat,FALSE
0908,Garut,09,Jawa Barat,FALSE
0909,Indramayu,09,Jawa Barat,FALSE
0910,Karawang,09,Jawa Barat,FALSE
0911,Kota Bandung,09,Jawa Barat,TRUE
0912,Kota Banjar,09,Jawa Barat,TRUE
0913,Kota Bekasi,09,Jawa Barat,TRUE
0914,Kota Bogor,09,Jawa Barat,TRUE
0915,Kota Cimahi,09,Jawa Barat,TRUE
0916,Kota Cirebon,09,Jawa Barat,TRUE
0917,Kota Depok,09,Jawa Barat,TRUE
0918,Kota Sukabumi,09,Jawa Barat,TRUE
